Var1,X,Y
1,NaN,NaN
2,NaN,NaN
3,720.1666,2055.5
4,720.5,2028.1666
5,716.1666,1991.1666
6,NaN,NaN
7,NaN,NaN
8,NaN,NaN
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,NaN,NaN
19,NaN,NaN
20,NaN,NaN
21,NaN,NaN
22,762.75,2092.25
23,752.25,2063.5
24,748.75,2033.25
25,745.75,1997.5
26,746.5,1960.25
27,745,1923.25
28,744.75,1887.25
29,746,1847.5
30,NaN,NaN
31,NaN,NaN
32,NaN,NaN
33,NaN,NaN
34,NaN,NaN
35,NaN,NaN
36,NaN,NaN
37,NaN,NaN
38,NaN,NaN
39,NaN,NaN
40,NaN,NaN
41,817.75,2128
42,800.75,2097.625
43,790.5,2071.25
44,784.1666,2038.1666
45,780.5,2002.3334
46,779.8333,1966
47,777.6666,1928.5
48,774.8333,1891.1666
49,773,1850.5
50,777.1666,1814.5
51,783.5,1770.5
52,790.8333,1729.5
53,792.5,1691.5
54,790.1666,1651.1666
55,793.1666,1604.5
56,NaN,NaN
57,NaN,NaN
58,NaN,NaN
59,NaN,NaN
60,NaN,NaN
61,855,2131
62,835.75,2105.75
63,831,2072.5
64,823.25,2042.25
65,818.75,2007.25
66,816.25,1972.25
67,815.25,1935.75
68,815.5,1897.25
69,817.5,1863.25
70,816.5,1824.25
71,816,1780
72,819.25,1739.25
73,819.5,1700.5
74,817.5,1659.75
75,820.75,1618
76,827,1575.25
77,832.5,1528.75
78,844.75,1477.75
79,NaN,NaN
80,NaN,NaN
81,889.75,2126.75
82,876.75,2102.25
83,870.5,2072.75
84,864.75,2043
85,856.25,2009.5
86,854,1972.75
87,851.75,1937.25
88,850.75,1900
89,851.5,1864.5
90,850.5,1821.75
91,849.75,1784.75
92,849.5,1748
93,852.25,1708.75
94,851,1668.25
95,853.25,1627
96,860,1583
97,865.25,1536.75
98,874.75,1487.75
99,885,1435.25
100,NaN,NaN
101,929.1666,2122.8333
102,919.8333,2103.1667
103,912.5,2072.8333
104,906.5,2041.5
105,901.5,2008.8334
106,896.1666,1972.5
107,895.5,1938.1666
108,892.1666,1901.5
109,891.5,1864.1666
110,890.5,1824.1666
111,888.1666,1787.5
112,885.8333,1751.5
113,886.1666,1712.1666
114,887.8333,1673.1666
115,890.1666,1629.1666
116,898.1666,1580.5
117,901.5,1538.8334
118,910.5,1494.1666
119,921.5,1441.1666
120,962.5,1366.8334
121,NaN,NaN
122,963.75,2100.75
123,957,2072
124,952.5,2041.25
125,944.75,2005
126,940.5,1971.75
127,936.5,1935.75
128,934.75,1898.75
129,934.75,1861.75
130,930.75,1824.75
131,929.25,1788
132,924.5,1753.5
133,926,1714.25
134,929,1670.5
135,932.5,1632
136,938,1586.5
137,944,1541.25
138,957,1491.25
139,973,1436.5
140,995.5,1365
141,NaN,NaN
142,1008.1666,2092.8333
143,1000.1666,2064.5
144,996.8333,2038.5
145,993.1666,2000.8334
146,987.1666,1967.1666
147,984.1666,1934.8334
148,980.5,1900.1666
149,978.1666,1860.8334
150,975.8333,1825.8334
151,972.5,1786.8334
152,971.1666,1750.5
153,971.5,1712.8334
154,972.5,1671.1666
155,978.1666,1627.5
156,981.8333,1584.8334
157,991.1666,1537.5
158,1004.1666,1486.5
159,1021.1666,1430.5
160,NaN,NaN
161,NaN,NaN
162,NaN,NaN
163,NaN,NaN
164,NaN,NaN
165,NaN,NaN
166,NaN,NaN
