 ,X,Y
1,259.2500,3480.2500
2,1987.0000,3295.5833
3,693.3334,2933.4167
4,2452.0000,2652.4375
5,758.6875,2309.8125
6,2247.2500,1330.5000
7,1143.8750,989.6250
8,2155.7500,512.3750
