Var1,X,Y
419,NaN,NaN
420,NaN,NaN
421,NaN,NaN
422,1685,1880.5
423,1685.5,1861.75
424,1687,1840.75
425,1688.5,1813.5
426,1689.75,1784.25
427,1688.75,1756.25
428,1689.25,1726.75
429,1690.25,1697.25
430,1689.75,1661.75
431,1689.75,1623
432,NaN,NaN
433,NaN,NaN
434,NaN,NaN
435,NaN,NaN
436,NaN,NaN
437,NaN,NaN
438,NaN,NaN
439,NaN,NaN
440,NaN,NaN
441,NaN,NaN
442,NaN,NaN
443,1719.1667,1854.5
444,1720.5,1834.8333
445,1721.1667,1805.1666
446,1722,1778.3333
447,1723.5,1746
448,1723.6667,1709
449,NaN,NaN
450,NaN,NaN
451,NaN,NaN
452,NaN,NaN
453,NaN,NaN
454,NaN,NaN
455,NaN,NaN
456,NaN,NaN
457,NaN,NaN
458,NaN,NaN
459,NaN,NaN
460,NaN,NaN
