 ,X,Y
1,199.2500,2689.7500
2,1662.0834,2948.4165
3,401.6667,2384.0000
4,1908.2500,2547.0000
5,45.6667,1968.4166
6,2154.9167,1128.5833
7,787.5000,729.1666
8,1664.5000,321.6667
