Var1,X,Y
250,1877.1666,1871.1666
251,1870.1666,1820.8334
252,1861.1666,1768.8334
253,1843.5,1717
254,NaN,NaN
255,NaN,NaN
256,1887.1666,2411.1667
257,1902.8334,2371.1667
258,1917.1666,2319.5
259,1926.1666,2273.5
260,1932.5,2221.5
261,1936.1666,2171.1667
262,1936.1666,2122.1667
263,1935.5,2068.5
264,1935.1666,2020.5
265,1937.1666,1969.8334
266,1930.5,1919.1666
267,1922.5,1868.75
268,1914.5,1821.25
269,NaN,NaN
270,NaN,NaN
271,NaN,NaN
272,NaN,NaN
273,1927,2410
274,1943,2369.5
275,1959,2318.5
276,1967,2271.5
277,1974,2219
278,1978.5,2169
279,1981,2118.5
280,1980.3334,2068.5
281,1979.5,2022.75
282,1979.75,1967.25
283,1973.1666,1916.5
284,1966.8334,1866.8334
285,NaN,NaN
286,NaN,NaN
287,NaN,NaN
288,NaN,NaN
289,NaN,NaN
290,NaN,NaN
291,1981.5,2363.8333
292,1997.8334,2313.5
293,2008,2267
294,2013.3334,2214.1667
295,2016.5,2165
296,2018.5,2115.6667
297,2013.1666,2068.5
298,NaN,NaN
299,NaN,NaN
300,NaN,NaN
301,NaN,NaN
302,NaN,NaN
303,NaN,NaN
304,NaN,NaN
305,NaN,NaN
306,NaN,NaN
307,NaN,NaN
308,NaN,NaN
309,NaN,NaN
310,NaN,NaN
311,NaN,NaN
312,NaN,NaN
313,NaN,NaN
314,NaN,NaN
315,NaN,NaN
316,NaN,NaN
317,NaN,NaN
318,NaN,NaN
319,NaN,NaN
320,NaN,NaN
321,NaN,NaN
322,NaN,NaN
323,NaN,NaN
