 ,X,Y
1,141.8750,3164.5000
2,1750.5000,3349.1670
3,429.0000,2755.9375
4,2026.0834,2788.2500
5,153.8125,2190.5000
6,2277.1667,1444.3333
7,963.0000,1032.0000
8,1844.4166,623.0834
