 ,X,Y
1,331.2500,2512.1250
2,1730.6250,2487.7500
3,584.1667,2211.5000
4,2051.5000,2129.5000
5,406.2500,1900.7500
6,2081.0000,946.5000
7,934.1667,721.5000
8,1828.7500,331.2500
