Var1,X,Y
1,NaN,NaN
2,NaN,NaN
3,985.5,2343.1667
4,974.1667,2301.1667
5,970.5,2253.1667
6,964.8333,2207.5
7,NaN,NaN
8,NaN,NaN
9,NaN,NaN
10,NaN,NaN
11,NaN,NaN
12,NaN,NaN
13,NaN,NaN
14,NaN,NaN
15,NaN,NaN
16,NaN,NaN
17,NaN,NaN
18,1073.5,2433.1667
19,1040.5,2390.1667
20,1013.1667,2344.1667
21,1001.1667,2301.1667
22,994.8333,2252.1667
23,986.1667,2207.5
24,985.5,2163.1667
25,983.1667,2119.5
26,NaN,NaN
27,NaN,NaN
28,NaN,NaN
29,NaN,NaN
30,NaN,NaN
31,NaN,NaN
32,NaN,NaN
33,NaN,NaN
34,NaN,NaN
35,1114.5,2438.5
36,1072,2392.5
37,1050,2345.5
38,1032,2303
39,1024,2254.5
40,1018,2207.5
41,1016,2164
42,1010,2118.5
43,NaN,NaN
44,NaN,NaN
45,NaN,NaN
46,NaN,NaN
47,NaN,NaN
48,NaN,NaN
49,NaN,NaN
50,NaN,NaN
51,NaN,NaN
52,1145.5,2440
53,1111.5,2393.5
54,1090,2345.5
55,1071,2303
56,1059.5,2255.5
57,1054.5,2208.5
58,1052,2163.5
59,1046,2117
60,1044.75,2071.25
61,1044,2022.75
62,1045.25,1975.75
63,1046.75,1930.25
64,1056.75,1883.5
65,1071.5,1833.5
66,1094,1785
67,NaN,NaN
68,NaN,NaN
69,1198.1666,2433.1667
70,1163.6666,2393.6667
71,1139.1666,2347.3333
72,1116.3334,2305.3333
73,1104,2256
74,1094.6666,2209.6667
75,1090,2164.3333
76,1081.5,2117.1667
77,1077.8334,2070.3333
78,1071,2023.5
79,1072.5,1977.5
80,1076.5,1930.6666
81,1083,1884.5
82,1098.3334,1835.8334
83,1123.1666,1785.8334
84,1162.5,1732.6666
85,NaN,NaN
86,1262.5,2411.5
87,1231.1666,2391.5
88,1200.5,2348.8333
89,1178.5,2304.8333
90,1159.1666,2255.8333
91,1148.1666,2209.5
92,1140.1666,2162.8333
93,1129.8334,2119.1667
94,1121.5,2070.8333
95,1111.5,2023.8334
96,1111.5,1977.1666
97,1117.8334,1930.5
98,1125.8334,1882.8334
99,1141.8334,1834.8334
100,1168.1666,1783.1666
101,1212.5,1731.1666
102,NaN,NaN
103,NaN,NaN
104,NaN,NaN
105,NaN,NaN
106,1241,2302.5
107,1217,2254.5
108,1204,2209.5
109,1194,2163.5
110,1183.5,2116.5
111,1173.5,2069.5
112,1160.5,2022
113,1163,1976
114,1170.5,1929
115,1180,1881.5
116,1196.5,1832.5
117,1228,1779.5
118,1281,1727
119,NaN,NaN
120,NaN,NaN
121,NaN,NaN
122,NaN,NaN
123,NaN,NaN
124,NaN,NaN
125,1355.8334,2203.5
126,1308.8334,2159.8333
127,1238.1666,2118.5
128,1222.1666,2069.5
129,1214.5,2022.1666
130,1214.1666,1974.1666
131,1221.5,1927.8334
132,1234.1666,1879.1666
133,1257.5,1828.8334
134,1303.1666,1773.5
135,NaN,NaN
136,NaN,NaN
137,NaN,NaN
138,NaN,NaN
139,NaN,NaN
140,NaN,NaN
141,NaN,NaN
142,NaN,NaN
143,NaN,NaN
144,1315.5,2114.75
145,1267.25,2070.5
146,1260.5,2021
147,1262,1974.25
148,1272,1926.5
149,1290,1877
150,1324.25,1825.25
151,1396.25,1767.25
152,NaN,NaN
153,NaN,NaN
154,NaN,NaN
155,NaN,NaN
156,NaN,NaN
157,NaN,NaN
158,NaN,NaN
159,NaN,NaN
160,NaN,NaN
161,NaN,NaN
