 ,X,Y
300,51.3750,29.2500
301,59.2500,34.7500
302,50.2500,33.7500
303,46.1250,38.1250
304,50.7500,46.0000
305,55.5000,44.1250
306,62.7500,43.6250
307,109.5000,1.7500
308,112.0833,1.3333
309,110.2500,2.8333
310,112.4167,2.8333
311,110.1667,4.5833
312,113.6667,4.5000
313,110.1667,5.5833
314,113.7500,5.8333
315,110.5833,8.2500
316,115.1667,8.0833
317,110.7500,10.1667
318,114.7500,10.4167
319,111.0833,11.5833
320,115.3333,12.5833
321,111.1667,13.2500
322,115.1667,14.0000
323,111.9167,16.1667
