 ,X,Y
1,1108.0000,2643.0000
2,1117.1666,2601.1667
3,1122.5000,2553.8333
4,1124.5000,2506.5000
5,1119.1666,2453.8333
6,1114.5000,2403.1667
7,1109.8334,2351.8333
8,1105.8334,2301.1667
9,16.0000,14.5000
10,22.5000,14.0000
11,33.5000,16.0000
12,21.0000,27.0000
13,31.5000,29.5000
14,43.0000,27.0000
15,50.0000,20.0000
16,63.0000,29.5000
17,50.5000,37.5000
18,1158.7500,2644.0000
19,1166.7500,2598.7500
20,1173.2500,2550.5000
21,1176.7500,2505.7500
22,1176.0000,2452.5000
23,1174.7500,2404.0000
24,1174.0000,2354.7500
25,1171.0000,2305.5000
26,1158.7500,2251.5000
27,1148.0000,2198.7500
28,1139.5000,2146.0000
29,24.6667,22.3333
30,24.8333,34.3333
31,30.6667,36.6667
32,35.6667,34.1667
33,36.0000,38.8333
34,27.6667,43.3333
35,1207.0000,2645.5000
36,1216.5000,2597.5000
37,1223.0000,2549.5000
38,1224.5000,2501.5000
39,1226.0000,2452.5000
40,1223.5000,2402.0000
41,1222.5000,2352.5000
42,1223.0000,2304.0000
43,1220.5000,2251.0000
44,1215.0000,2201.0000
45,1215.0000,2151.5000
46,1214.0000,2102.0000
47,1208.5000,2051.5000
48,1199.5000,1996.5000
49,1184.5000,1940.5000
50,47.5000,7.5000
51,64.8333,14.8333
52,1256.8334,2640.1667
53,1262.8334,2596.1667
54,1268.8334,2545.1667
55,1272.8334,2500.8333
56,1273.8334,2449.1667
57,1274.8334,2399.5000
58,1274.1666,2351.1667
59,1273.8334,2299.8333
60,1272.1666,2250.8333
61,1269.1666,2199.8333
62,1267.5000,2150.8333
63,1266.8334,2101.8333
64,1263.1666,2051.5000
65,1254.8334,1998.5000
66,1246.8334,1943.5000
67,1233.8334,1886.8334
68,43.0000,16.2500
69,1306.8334,2623.5000
70,1308.8334,2592.8333
71,1312.1666,2542.1667
72,1316.1666,2496.8333
73,1318.8334,2444.8333
74,1320.1666,2396.8333
75,1322.1666,2347.5000
76,1319.0000,2300.5000
77,1321.0000,2249.0000
78,1320.5000,2197.5000
79,1319.0000,2150.0000
80,1316.5000,2100.5000
81,1312.5000,2050.0000
82,1306.5000,1996.5000
83,1299.0000,1943.5000
84,1286.5000,1888.0000
85,61.0000,36.0000
86,9.3333,43.5000
